RecordDate,PetrinexFacilityID,ActivityId,Product,Volume,units,is_current
2022-05-01,ABBT0048421,DIFF,GAS,0,e3m3,true
2022-05-01,ABBT0048421,DISP,GAS,57.5,e3m3,true
2022-05-01,ABBT0048421,FUEL,GAS,0.1,e3m3,true
2022-05-01,ABBT0048421,PROD,GAS,58.4,e3m3,true
2022-05-01,ABBT0048421,VENT,GAS,0.8,e3m3,true
2022-05-01,ABBT0059275,SHUTIN,,,,true
2022-05-01,ABBT0059275,IMBAL,OIL,0,m3,true
2022-05-01,ABBT0059275,INVCL,OIL,7.9,m3,true
2022-05-01,ABBT0059275,INVOP,OIL,7.9,m3,true
2022-05-01,ABBT0083457,IMBAL,OIL,0,m3,true
2022-05-01,ABBT0083457,INVCL,OIL,12,m3,true
2022-05-01,ABBT0083457,INVOP,OIL,12,m3,true
2022-05-01,ABBT0083457,DIFF,WATER,0,m3,true
2022-05-01,ABBT0083457,INVCL,WATER,10.4,m3,true
2022-05-01,ABBT0083457,INVOP,WATER,10.4,m3,true
2022-05-01,ABBT0091980,SHUTIN,,,,true
2022-05-01,ABBT0091980,IMBAL,OIL,0,m3,true
2022-05-01,ABBT0091980,INVCL,OIL,24.6,m3,true
2022-05-01,ABBT0091980,INVOP,OIL,24.6,m3,true
2022-05-01,ABBT0101896,PROD,COND,4.2,m3,true
2022-05-01,ABBT0101896,DIFF,GAS,0,e3m3,true
2022-05-01,ABBT0101896,DISP,GAS,819.8,e3m3,true
2022-05-01,ABBT0101896,FLARE,GAS,4.3,e3m3,true
2022-05-01,ABBT0101896,FUEL,GAS,18.1,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,28.6,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,24.8,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,117.1,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,59.8,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,41,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,181.2,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,87.4,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,38.2,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,80.7,e3m3,true
2022-05-01,ABBT0101896,PROD,GAS,161,e3m3,true
2022-05-01,ABBT0101896,REC,GAS,31.6,e3m3,true
2022-05-01,ABBT0101896,VENT,GAS,9.2,e3m3,true
2022-05-01,ABBT0101896,DISP,OIL,4.2,m3,true
2022-05-01,ABBT0101896,IMBAL,OIL,0,m3,true
2022-05-01,ABBT0120813,DIFF,GAS,0,e3m3,true
2022-05-01,ABBT0120813,DISP,GAS,47.2,e3m3,true
2022-05-01,ABBT0120813,FUEL,GAS,2,e3m3,true
2022-05-01,ABBT0120813,PROD,GAS,50.7,e3m3,true
2022-05-01,ABBT0120813,VENT,GAS,1.5,e3m3,true
2022-05-01,ABBT0120813,IMBAL,OIL,0,m3,true
2022-05-01,ABBT0120813,INVCL,OIL,33.4,m3,true
2022-05-01,ABBT0120813,INVOP,OIL,27.7,m3,true
2022-05-01,ABBT0120813,PROD,OIL,5.7,m3,true
2022-05-01,ABBT0120813,DIFF,WATER,0,m3,true
2022-05-01,ABBT0120813,INVCL,WATER,1.1,m3,true
2022-05-01,ABBT0120813,INVOP,WATER,1.1,m3,true
2022-05-01,ABBT0137951,SHUTIN,,,,true
2022-05-01,ABBT0137951,SHUTIN,,,,true
2022-05-01,ABBT0137951,SHUTIN,,,,true
2022-05-01,ABBT0137951,SHUTIN,,,,true
2022-05-01,ABBT0137951,DIFF,WATER,0,m3,true
2022-05-01,ABBT0137951,INVCL,WATER,3,m3,true
2022-05-01,ABBT0137951,INVOP,WATER,3,m3,true
